District,Jurisdiction,Route,Route Name,VA Struc No.,Fed Struc Id,Crossing,Type,Year Built,Year Recnst (State),Year Recnst (Fed),Deck Cond,Super Cond,Sub Cond,Culvert Cond,Suffic Rating,NBI,Func Obslt,Struc Defic,Last Inspected,Weight Posting Status,Single Sign - Single Unit Vehicle - Posted Capacity (in tons),Dual Sign - Single Unit Vehicle - Posted Capacity (in tons),Dual Sign - Combination Unit Vehicle - Posted Capacity (in tons),Responsibility,Structure Length (FT),Structure Width (FT),Avg Daily Traffic,Road System,Health Index,Report Date
Bristol,Bland County,00602,SPUR BRANCH RD,6006,0003045,SPUR BRANCH #1,Bridge,1975,0,-1,6,6,6,N,97.0,Y,,,1/27/2014,-,,,,VDOT,34,25,96,Secondary,78.76,2/5/2014
Bristol,Bland County,00604,WALKERS CREEK ROAD,6050,0003051,BIG WALKER CREEK #5,Bridge,1932,1993,-1,7,6,6,N,52.8,Y,FO,,5/7/2013,-,,,,VDOT,62,16.4,279,Secondary,80.27,2/5/2014
Bristol,Bland County,00604,WALKERS CREEK ROAD,6066,0003054,BIG WALKER CREEK #1,Bridge,1958,0,-1,7,7,7,N,80.0,Y,,,3/7/2012,-,,,,VDOT,86.9,24,279,Secondary,96.27,2/5/2014
Bristol,Bland County,00604,WALKERS CREEK RD,6076,0003055,SPRING BRANCH,Bridge,1956,1999,-1,7,7,6,N,95.0,N,FO,,2/6/2013,-,,,,VDOT,16.1,30.2,126,Secondary,99.15,2/5/2014
Bristol,Bland County,00605,ROUTE 0605,6010,0003057,BIG WALKER CREEK #2,Bridge,1974,0,-1,9,6,6,N,91.1,Y,,,11/21/2013,-,,,,VDOT,66.9,27.2,95,Secondary,77.45,2/5/2014
Bristol,Bland County,00606,WILDERNESS RD,6013,0003060,WILDERNESS CREEK,Bridge,1973,0,-1,7,7,6,N,80.9,N,,,3/13/2012,-,,,,VDOT,23,26.9,915,Secondary,96.23,2/5/2014
Bristol,Bland County,00606,WILDERNESS ROAD,6075,0003063,WILDERNESS CREEK,Culvert,1973,0,-1,N,N,N,6,99.0,Y,,,12/11/2012,-,,,,VDOT,40,92,1210,Secondary,94.08,2/5/2014
Bristol,Bland County,00606,WILDERNESS ROAD,6105,0003064,SPRING BRANCH,Culvert,1955,0,-1,N,N,N,6,100.0,N,,,2/9/2011,-,,,,VDOT,19,36,1210,Secondary,93.98,2/5/2014
Bristol,Bland County,00606,WILDERNESS ROAD,6115,0003066,N F KIMBERLING CREEK #2,Culvert,1965,0,-1,N,N,N,6,97.0,N,,,1/24/2013,-,,,,VDOT,22,50,915,Secondary,92.07,2/5/2014
Bristol,Bland County,00606,WILDERNESS ROAD,6125,0003067,WOLF CREEK,Bridge,1974,0,-1,6,6,6,N,98.5,Y,,,9/12/2012,-,,,,VDOT,138.1,36.1,1210,Secondary,77.78,2/5/2014
Bristol,Bland County,00608,WESENDONCK RD.,6078,0003073,SPRING BRANCH,Bridge,1972,0,-1,7,7,6,N,92.0,N,,,1/24/2013,-,,,,VDOT,20,23.3,67,Secondary,96.36,2/5/2014
Bristol,Bland County,00612,KIMBERLING ROAD,6024,0003076,FORK OF KIMBERLING CREEK,Bridge,1957,0,-1,6,6,7,N,49.0,Y,,,3/5/2013,Posted,0,20,28,VDOT,24.9,14.1,95,Secondary,91.62,2/5/2014
Bristol,Bland County,00612,KIMBERLING ROAD,6079,0003081,FORK OF KIMBERLING CREEK,Bridge,1956,1993,2013,9,9,6,N,25.4,N,,SD,11/25/2013,-,,,,VDOT,20.5,16.1,95,Secondary,100,2/5/2014
Bristol,Bland County,00613,DRY FORK ROAD,6029,0003086,DRY FORK CREEK,Bridge,1984,0,-1,6,6,6,N,68.2,Y,,,11/5/2012,-,,,,VDOT,40,25.9,675,Secondary,81.14,2/5/2014
Bristol,Bland County,00615,SUITER ROAD,6104,0003091,LAUREL CREEK,Bridge,1960,0,-1,8,8,6,N,84.9,Y,,,3/8/2012,-,,,,VDOT,25.9,23,73,Secondary,99.78,2/5/2014
Bristol,Bland County,00617,WADDLETOWN ROAD,6034,0003096,WADDELL BRANCH #2,Bridge,1932,2011,2011,8,8,6,N,100.0,Y,,,4/2/2013,-,,,,VDOT,24,24.7,59,Secondary,98.41,2/5/2014
Bristol,Bland County,00617,WADDLETOWN ROAD,6116,0003102,BIG WALKER CREEK #2,Bridge,1965,0,-1,7,7,6,N,93.9,Y,,,7/3/2012,-,,,,VDOT,81,32.2,178,Secondary,87.96,2/5/2014
Bristol,Bland County,00622,Birch Grove Road,6039,0003104,N FORK HOLSTON RIVER #6,Bridge,1989,0,-1,6,6,6,N,93.0,Y,,,4/16/2013,-,,,,VDOT,37.1,29.9,64,Secondary,99.7,2/5/2014
Bristol,Bland County,00622,BIRCH GROVE ROAD,6041,0003106,N FORK HOLSTON RIVER #4,Bridge,1932,0,-1,6,6,6,N,61.3,Y,,,4/16/2013,Posted,0,23,35,VDOT,42,13.8,60,Secondary,82.3,2/5/2014
Bristol,Bland County,00625,Ceres School Road,6044,0003110,N FORK HOLSTON RIVER #2,Bridge,1982,0,-1,9,6,6,N,97.0,Y,,,4/16/2013,-,,,,VDOT,24.9,26.2,30,Secondary,85.34,2/5/2014
Bristol,Bland County,00738,BRYNES CHAPEL RD.,6098,0003129,CATTLE PASS,Bridge,1935,0,-1,6,6,6,N,75.9,N,,,9/5/2012,-,,,,VDOT,12.1,25.9,274,Secondary,87.24,2/5/2014
Bristol,Bland County,00738,BYRNES CHAPEL RD.,6099,0003130,CATTLE PASS,Bridge,1935,0,-1,7,7,7,N,83.7,N,,,9/5/2012,-,,,,VDOT,7.9,25.9,274,Secondary,96.65,2/5/2014
Bristol,Bland County,00738,BYRNES CHAPEL RD.,6100,0003131,CATTLE PASS,Bridge,1935,0,-1,7,7,8,N,83.7,N,,,9/5/2012,-,,,,VDOT,7.9,26.2,274,Secondary,100,2/5/2014
Bristol,Bland County,00738,BYRNES CHAPEL ROAD,6101,0003132,CATTLE PASS,Bridge,1936,0,-1,8,8,7,N,83.7,N,,,9/5/2012,-,,,,VDOT,7.9,25.9,274,Secondary,94.47,2/5/2014
Bristol,Bland County,00738,BYRNES CHAPEL ROAD,6122,0003133,WALKER CREEK,Bridge,1969,0,-1,6,6,7,N,88.8,Y,,,9/5/2012,-,,,,VDOT,130.9,30.5,379,Secondary,80.76,2/5/2014
Bristol,Bland County,01005,FIFTH STREET,6047,0003135,CRAB ORCHARD CREEK,Bridge,1955,2008,-1,7,8,6,N,85.5,Y,,,9/12/2012,-,,,,VDOT,41,15.4,28,Secondary,97.76,2/5/2014
Bristol,Buchanan County,T1012,RAILROAD AVENUE,1107,0003775,LEVISA RIVER,Bridge,1983,0,-1,6,6,6,N,72.2,Y,,,2/22/2012,-,,,,VDOT,191.9,33.8,200,Secondary,95.27,2/5/2014
Bristol,Buchanan County,00080,Helen Henderson HW,1012,0003777,RUSSELL FORK RIVER,Bridge,1953,0,-1,6,6,6,N,58.5,Y,,,5/22/2013,Posted,0,27,40,VDOT,23,29.5,1981,Primary,82.47,2/5/2014
Bristol,Buchanan County,00080,BREAKS PARK RD,1014,0003778,GRASSY CREEK,Culvert,1972,0,-1,N,N,N,6,87.2,Y,,,8/19/2013,-,,,,VDOT,34.1,110,732,Primary,91.21,2/5/2014
Bristol,Buchanan County,00080,HELEN HENDERSON HW,1030,0003781,HURRICANE CREEK,Culvert,1965,0,-1,N,N,N,6,94.0,Y,,,5/22/2013,-,,,,VDOT,49,40,1981,Primary,95.42,2/5/2014
Bristol,Buchanan County,00080,ROUTE 0080,1070,0003782,Hollow Poplar Branch,Culvert,1961,0,-1,N,N,N,6,93.5,N,,,1/4/2013,-,,,,VDOT,12.1,70,1981,Primary,23.67,2/5/2014
Bristol,Buchanan County,00080,BREAKS PARK RD,1955,0003783,GRASSY CREEK,Culvert,1972,0,-1,N,N,N,6,80.3,Y,,,8/19/2013,-,,,,VDOT,24.9,65,1250,Primary,98.28,2/5/2014
Bristol,Buchanan County,00083,Lovers Gap Road,1009,0003785,RUSSELL PRATER FORK,Culvert,1973,0,-1,N,N,N,6,85.7,Y,,,3/27/2012,-,,,,VDOT,34.1,40,3203,Primary,81.16,2/5/2014
Bristol,Buchanan County,00083,ROUTE 83,1010,0003786,BEAR CREEK,Culvert,1973,0,-1,N,N,N,6,86.0,N,,,7/16/2010,-,,,,VDOT,17.1,42,3203,Primary,93.73,2/5/2014
Bristol,Buchanan County,00083,ROUTE 83,1011,0003787,LAUREL BRANCH,Culvert,1973,0,-1,N,N,N,6,86.0,N,,,7/16/2010,-,,,,VDOT,6.9,43,3203,Primary,100,2/5/2014
Bristol,Buchanan County,00083,SLATE CREEK RD.,1018,0003790,ELKINS BRANCH,Bridge,1948,0,-1,6,6,6,N,60.6,Y,FO,,10/29/2013,Posted,0,25,35,VDOT,28,26,2784,Primary,97.96,2/5/2014
Bristol,Buchanan County,00083,EDGEWATER DRIVE,1020,0003791,DRY TRAP BRANCH,Bridge,1932,0,-1,6,6,6,N,58.0,N,FO,,9/17/2012,-,,,,VDOT,16.1,24.9,1850,Primary,90.22,2/5/2014
Bristol,Buchanan County,00083,SLATE CREEK RD.,1021,0003792,ROCK HOUSE CREEK,Culvert,1989,0,-1,N,N,N,7,77.0,Y,,,11/13/2012,-,,,,VDOT,22,106,1850,Primary,100,2/5/2014
Bristol,Buchanan County,00083,SLATE CREEK ROAD,1022,0003793,LWR ROCK HOUSE CREEK,Bridge,1932,0,-1,6,7,6,N,54.1,N,FO,,7/10/2013,-,,,,VDOT,18,25.6,2784,Primary,97.75,2/5/2014
Bristol,Buchanan County,00083,ROUTE 0083,1025,0003796,ENOCHS BRANCH,Bridge,1980,0,-1,6,6,7,N,60.2,Y,FO,,2/22/2013,-,,,,VDOT,22,28.1,5820,Primary,84.09,2/5/2014
Bristol,Buchanan County,00083,Lovers Gap Road,1029,0003799,PRATER CREEK,Culvert,1976,0,-1,N,N,N,6,89.0,N,,,2/2/2012,-,,,,VDOT,15.1,31,3203,Primary,66.67,2/5/2014
Bristol,Buchanan County,00460,Riverside Drive,1003,0003803,LEVISA RV & NS(WELRS YD,Bridge,1939,2008,-1,7,7,6,N,77.1,Y,FO,,7/26/2012,-,,,,VDOT,536.1,27.2,3993,Primary,87.75,2/5/2014
Bristol,Buchanan County,00460,ROUTE 460 EBL,1005,0003804,DISMAL RIVER & NS RWY,Bridge,1936,0,2004,7,8,6,N,78.5,Y,FO,,11/8/2012,-,,,,VDOT,466.9,30.2,4283,Primary,97.29,2/5/2014
Bristol,Buchanan County,00460,ROUTE 0460,1035,0003805,CREEDY BRANCH,Culvert,1932,0,-1,N,N,N,6,69.0,N,,,2/19/2013,-,,,,VDOT,5.9,247,7435,Primary,97.29,2/5/2014
Bristol,Buchanan County,00460,ROUTE 0460,1036,0003806,JONES KEEN BRANCH,Culvert,1967,0,-1,N,N,N,7,70.0,N,,,2/19/2013,-,,,,VDOT,5.9,92,7435,Primary,97.83,2/5/2014
Bristol,Buchanan County,00460,ROUTE 0460,1046,0003808,KENNEL BRANCH,Culvert,1966,0,-1,N,N,N,6,69.0,N,,,2/19/2013,-,,,,VDOT,6.9,76,8566,Primary,66.87,2/5/2014
Bristol,Buchanan County,00460,ROUTE 0460,1047,0003809,BRANCH,Culvert,1932,0,-1,N,N,N,6,67.0,N,,,1/4/2013,-,,,,VDOT,5.9,102,8566,Primary,92.79,2/5/2014
Bristol,Buchanan County,00460,ROUTE 460,1050,0003810,CHILDRESS BRANCH,Bridge,1960,1978,-1,6,6,6,N,72.1,N,,,1/27/2014,-,,,,VDOT,22,85.6,10018,Primary,81.07,2/5/2014
Bristol,Buchanan County,00460,ROUTE 0460,1059,0003812,SIX & TWENTY MILE BRANCH,Bridge,1932,1993,-1,6,6,7,N,79.9,N,,,2/19/2013,-,,,,VDOT,17,44,6820,Primary,84.71,2/5/2014
Bristol,Buchanan County,00460,Riverside Drive,1060,0003813,LOONEYS CREEK,Bridge,1932,1993,-1,6,6,6,N,79.9,N,,,2/19/2013,-,,,,VDOT,17,52.7,7165,Primary,80.99,2/5/2014
Bristol,Buchanan County,00460,Riverside Drive,1063,0003814,STILTNER CREEK,Bridge,1932,0,-1,6,6,7,N,70.4,N,,,2/19/2013,-,,,,VDOT,17,38,7165,Primary,82.89,2/5/2014
Bristol,Buchanan County,00460,ROUTE 0460,1067,0003816,BRANCH,Culvert,1932,0,-1,N,N,N,7,84.9,N,,,2/19/2013,-,,,,VDOT,6,36,4842,Primary,100,2/5/2014
Bristol,Buchanan County,00460,RIVERSIDE DR,1069,0003817,BUCKEYE CREEK,Bridge,1932,1994,-1,6,6,6,N,76.0,N,,,9/5/2012,-,,,,VDOT,16.1,36.1,3104,Primary,86.45,2/5/2014
Bristol,Buchanan County,00460,ROUTE 0460,1073,0003818,BRANCH,Culvert,1962,0,-1,N,N,N,6,67.0,N,,,2/19/2013,-,,,,VDOT,9.8,95,10018,Primary,94.39,2/5/2014
Bristol,Buchanan County,00460,RIVERSIDE DR.,1075,0003820,LEVISA RIVER,Culvert,1966,0,-1,N,N,N,6,69.0,Y,,,8/19/2013,-,,,,VDOT,84,154,8398,Primary,94.49,2/5/2014
Bristol,Buchanan County,00460,ROUTE 0460,1086,0003822,GRASSY CREEK,Culvert,1967,0,-1,N,N,N,6,70.0,N,,,2/25/2013,-,,,,VDOT,15.1,89,7435,Primary,91.53,2/5/2014
Bristol,Buchanan County,00600,HURRICANE CK RD.,6001,0003825,HURRICANE CREEK,Bridge,1981,0,-1,6,6,7,N,79.5,Y,,,9/13/2012,-,,,,VDOT,40,26.2,991,Secondary,98.13,2/5/2014
Bristol,Buchanan County,00600,HURRICANE CREEK RD,6002,0003826,BACK HURRICANE CREEK,Bridge,1957,1989,-1,6,6,6,N,80.8,N,,,6/17/2013,-,,,,VDOT,22,26.6,991,Secondary,98.39,2/5/2014
Bristol,Buchanan County,00600,HURRICANE CREEK RD,6003,0003827,HURRICANE CREEK,Bridge,1981,0,-1,7,7,7,N,82.4,Y,,,6/17/2013,-,,,,VDOT,36.1,24.3,213,Secondary,99.71,2/5/2014
Bristol,Buchanan County,00601,ROUTE 0601,6276,0003830,BRANCH BULL RUN,Culvert,1965,0,-1,N,N,N,7,81.8,N,,,12/6/2011,-,,,,VDOT,18,34,1094,Secondary,98.81,2/5/2014
Bristol,Buchanan County,00603,JAKES FORK ROAD,6146,0003834,BACK HURRICANE CREEK,Bridge,1988,0,-1,6,6,7,N,91.1,Y,,,9/13/2012,-,,,,VDOT,26.9,27.9,92,Secondary,86.27,2/5/2014
Bristol,Buchanan County,00604,POPULAR CREEK RD.,6119,0003836,LEVISA RIVER,Bridge,1974,0,-1,6,6,6,N,85.4,Y,,,10/16/2013,-,,,,VDOT,219.2,29.9,1045,Secondary,70,2/5/2014
Bristol,Buchanan County,00604,POPLAR CREEK RD,6278,0003838,POPLAR CREEK,Bridge,1982,0,-1,6,6,7,N,79.5,Y,,,9/5/2012,-,,,,VDOT,24,25.9,1045,Secondary,84.17,2/5/2014
Bristol,Buchanan County,00605,MURPHY ROAD,6012,0003839,LITTLE FOX CREEK,Bridge,1978,0,-1,6,6,6,N,86.2,Y,,,8/8/2012,-,,,,VDOT,27,27.9,486,Secondary,85.62,2/5/2014
Bristol,Buchanan County,00605,MURPHY RD.,6013,0003840,PAW PAW CREEK,Bridge,1975,0,-1,7,7,7,N,91.4,Y,,,3/27/2012,-,,,,VDOT,22,24.9,163,Secondary,99.94,2/5/2014
Bristol,Buchanan County,00605,MURPHY RD,6152,0003841,UPPER LAUREL CREEK,Bridge,1976,0,-1,6,6,7,N,84.7,N,,,9/11/2013,-,,,,VDOT,14.1,27.9,486,Secondary,87.88,2/5/2014
Bristol,Buchanan County,00606,DRAINPIPE RD.,6014,0003843,RUSSELL FORK,Bridge,1960,0,-1,6,6,6,N,82.1,Y,,,7/8/2013,-,,,,VDOT,25.9,25.6,550,Secondary,99.04,2/5/2014
Bristol,Buchanan County,00608,ROUTE 608,6015,0003845,GREEN BRIAR CREEK,Bridge,1932,1993,-1,6,6,6,N,64.0,Y,,,7/8/2013,-,,,,VDOT,29.9,27.9,1160,Secondary,80.66,2/5/2014
Bristol,Buchanan County,00608,ROUTE 608,6016,0003846,R FORK GREEN BRIAR CREEK,Bridge,1970,1993,1993,6,6,7,N,62.5,Y,,,7/8/2013,-,,,,VDOT,32.2,27.9,1160,Secondary,82.52,2/5/2014
Bristol,Buchanan County,00609,ROUTE 609,6018,0003847,BULL CREEK,Bridge,1969,0,-1,6,6,6,N,74.2,Y,FO,,10/22/2012,-,,,,VDOT,26.9,25.9,2365,Secondary,98.33,2/5/2014
Bristol,Buchanan County,00609,BULL CREEK RD.,6154,0003849,COLE CREEK,Bridge,1954,0,-1,6,6,6,N,54.7,N,FO,,7/18/2013,Posted,0,27,40,VDOT,11,24,1863,Secondary,80.64,2/5/2014
Bristol,Buchanan County,00609,3548,6259,0003850,LEVISA RIVER,Bridge,1967,0,-1,6,6,6,N,90.4,Y,,,9/26/2012,-,,,,VDOT,242.1,34.1,2365,Secondary,65.93,2/5/2014
Bristol,Buchanan County,00610,CONAWAY RD,6126,0003853,CONAWAY CREEK,Bridge,1949,1994,1994,6,6,7,N,86.6,Y,,,9/5/2012,-,,,,VDOT,25.9,25.9,673,Secondary,86.65,2/5/2014
Bristol,Buchanan County,00611,ROUTE 0611,6023,0003854,GREENBRIAR CREEK,Bridge,1971,0,-1,6,6,6,N,73.6,Y,,,11/28/2012,-,,,,VDOT,26.9,32.2,1383,Secondary,65.92,2/5/2014
Bristol,Buchanan County,00612,REDDIRT RD.,6298,0003855,LOONEY & TRACE FORK,Bridge,1986,0,-1,6,6,6,N,84.8,Y,,,7/20/2012,-,,,,VDOT,26.9,25.9,174,Secondary,85.34,2/5/2014
Bristol,Buchanan County,00612,REDDIRT RD,6314,0003856,LOONEY FORK,Bridge,1984,0,-1,6,6,7,N,84.8,N,,,7/20/2012,-,,,,VDOT,22,25.9,174,Secondary,85.8,2/5/2014
Bristol,Buchanan County,00614,Blechers Fork Road,6158,0003858,BELCHER CREEK,Bridge,1986,0,-1,7,8,6,N,77.8,N,FO,,7/18/2013,-,,,,VDOT,18,19,443,Secondary,95.19,2/5/2014
Bristol,Buchanan County,00617,Little Prater Road,6030,0003861,LEVISA FORK OF SANDY RIV,Bridge,1984,0,-1,6,7,7,N,74.5,Y,,,4/23/2012,-,,,,VDOT,172.9,34.1,1623,Secondary,91.44,2/5/2014
Bristol,Buchanan County,00617,LITTLE PRATER ROAD,6159,0003862,LITTLE PRATER CREEK,Bridge,1982,0,-1,6,6,6,N,68.0,Y,FO,,1/27/2014,-,,,,VDOT,24,23.8,420,Secondary,97.98,2/5/2014
Bristol,Buchanan County,00617,ROUTE 617,6283,0003863,LITTLE PRATER CREEK,Bridge,1984,0,-1,6,6,6,N,74.9,N,,,10/22/2012,-,,,,VDOT,18,25.9,420,Secondary,88.83,2/5/2014
Bristol,Buchanan County,00617,LITTLE PRATER ROAD,6315,0003865,STREAM,Bridge,1984,0,-1,7,7,7,N,70.1,N,,,6/3/2013,-,,,,VDOT,15.1,24.9,420,Secondary,99.71,2/5/2014
Bristol,Buchanan County,00618,ROUTE 618,6161,0003866,LEVISA RIVER,Bridge,1959,1986,-1,6,6,6,N,94.4,Y,,,9/17/2012,-,,,,VDOT,34.1,30.2,383,Secondary,80.55,2/5/2014
